term,definition,type,occurrences
solar rotation,,Space Weather Glossary (Second).json,2
solar system,,Space Weather Glossary (Second).json,2
unipolar magnetic region,,Space Weather Glossary (Second).json,2
van allen radiation belts,,Space Weather Glossary (Second).json,2
x-ray,,Space Weather Glossary (Second).json,2
x-ray background,,Space Weather Glossary (Second).json,2
x-ray burst,,Space Weather Glossary (Second).json,2
zeeman effect,,Space Weather Glossary (Second).json,2
forecast,"Description of the space environment at a future date based on actual data, proxies and models.",ESA Space Weather Glossary.json,2
model,A representation of a physical phenomenon built on data (measured and/or theoretical). There are three types of model:  Empirical: A model that is based on observations. Physics-based: A model that is based on first principles. It relies on mathematical descriptions of specific physical phenomena. Semi-empirical: A model that is partially based on observations and partially on first principles.,ESA Space Weather Glossary.json,2
report,"This class of product consists of summary reporting tailored towards user needs describing ongoing, past or expected conditions and provided as part of a service. Reports build on products and expertise available within the SWE Service Network. Reports may focus on a given domain, for example post event reports produced within the R-ESC describing Ground Level Events, or they may be Network wide products such as tailored bulletins compiled for a given user campaign. Reports are considered to be products where these are produced as part of the SWE Services. The reporting outputs generated from Coordinated Communication campaigns are also considered in this category of products.",ESA Space Weather Glossary.json,2
product,Derived data generated using one or more Space Weather tool or model. A Product is a digital file(s) delivered to members of a user community from an operational element of the system that has a defined format and is archived or is reproducible. The generation of a product or a family of products is part of a service of the SWE Service Network or to the SWE Service Network. Software tools made available to users or a technical report are not considered as products.,ESA Space Weather Glossary.json,2
validation,"Validation is a process which demonstrates that the product is able to accomplish its intended use in the intended operational environment. The status of the product following validation is ""validated"". Verification is a pre-requisite for validation.",ESA Space Weather Glossary.json,2
verification,"Verification is a process which demonstrates through the provision of objective evidence that the product is designed and produced according to its specifications and the agreed deviations, and is free of defects. Verification can be accomplished by one or more of the following methods:  analysis (including similarity), test, inspection, review of design. The status of the product following verification is ""verified"".",ESA Space Weather Glossary.json,2
magnetic fields,"A field of force that is generated by electric currents, or, equivalently, a region in which magnetic forces can be observed.",Unified Astronomy Thesaurus (UAT).json,2
celestial mechanics,The branch of astronomy that deals with the calculation of motions of celestial bodies under the action of their mutual gravitational attractions.,Unified Astronomy Thesaurus (UAT).json,2
lunar theory,,Unified Astronomy Thesaurus (UAT).json,2
annual equation,"An irregularity in the Moon's orbit, which can amount to 11 degrees in a period of one year. It results from the Sun's disturbing effect on the motion of the Moon due to varying distance between them.",Unified Astronomy Thesaurus (UAT).json,2
anomalistic month,"The time interval of 27.554551 days (27d 13h 18m 33.2s), on average, between two successive passages of the Moon through the  perigee of its orbit.",Unified Astronomy Thesaurus (UAT).json,2
apogee,The point in the orbit of the moon or an artificial satellite that is farthest from the terrestrial center and at which the body's velocity is at a minimum.,Unified Astronomy Thesaurus (UAT).json,2
perigee,The point in the orbit of a body revolving around the Earth at which it is nearest to the Earth; opposite of apogee.,Unified Astronomy Thesaurus (UAT).json,2
center of mass,A fixed point in a body through which the resultant force of gravitational attraction acts.,Unified Astronomy Thesaurus (UAT).json,2
eccentricity,"The amount by which the orbit deviates from circularity: e = c/a, where c is the distance from the center to a focus and a the semi-major axis. If e = 0, the orbit is a circle. If e < 1, the orbit is an ellipse, if e > 1 it is a hyperbola, and if e = 1 it is a parabola. The eccentricity is one of the six orbital elements that define a Keplerian orbit.",Unified Astronomy Thesaurus (UAT).json,2
elliptical orbits,,Unified Astronomy Thesaurus (UAT).json,2
major axis,The greatest diameter of an ellipse; it passes through the two foci.,Unified Astronomy Thesaurus (UAT).json,2
minor axis,The axis of an ellipse that is perpendicular to the major axis at a point equidistant from the foci.,Unified Astronomy Thesaurus (UAT).json,2
semimajor axis,Half the length of the major axis of an ellipse; a standard element used to describe an elliptical orbit.,Unified Astronomy Thesaurus (UAT).json,2
semiminor axis,,Unified Astronomy Thesaurus (UAT).json,2
inclination,"An orbital element that defines the angle between the orbital plane of a solar system body (planet, comet, asteroid) and the plane of the ecliptic.",Unified Astronomy Thesaurus (UAT).json,2
orbital motion,,Unified Astronomy Thesaurus (UAT).json,2
elliptical orbits,,Unified Astronomy Thesaurus (UAT).json,2
major axis,The greatest diameter of an ellipse; it passes through the two foci.,Unified Astronomy Thesaurus (UAT).json,2
minor axis,The axis of an ellipse that is perpendicular to the major axis at a point equidistant from the foci.,Unified Astronomy Thesaurus (UAT).json,2
semimajor axis,Half the length of the major axis of an ellipse; a standard element used to describe an elliptical orbit.,Unified Astronomy Thesaurus (UAT).json,2
semiminor axis,,Unified Astronomy Thesaurus (UAT).json,2
orbital resonances,,Unified Astronomy Thesaurus (UAT).json,2
kirkwood gaps,Regions in the asteroid belt within which few asteroids are found. The Kirkwood gaps are due to the perturbing effects of Jupiter through resonances with Jupiter's orbital period.,Unified Astronomy Thesaurus (UAT).json,2
perturbation methods,,Unified Astronomy Thesaurus (UAT).json,2
three-body problem,"The mathematical problem of studying the positions and velocities of three mutually attracting bodies (such as the Sun, Earth and Moon) and the stability of their motion. This problem is surprisingly difficult to solve, even in the simple case, called restricted three-body problem, where one of the masses is taken to be negligibly small so that the problem simplifies to finding the behavior of the mass-less body in the combined gravitational field of the other two.",Unified Astronomy Thesaurus (UAT).json,2
lagrangian points,"Five locations in space where the centrifugal force and the gravitational force of two bodies (m orbiting M) neutralize each other. A third, less massive body, located at any one of these points, will be held in equilibrium with respect to the other two. Three of the points, L1, L2, and L3, lie on a line joining the centers of M and m. L1 lies between M and m, near to m, L2 lies beyond m, and L3 on the other side of M beyond the orbit. The other two points, L4 and L5, which are the most stable, lie on either side of this line, in the orbit of m around M, each of them making an equilateral triangle with M and m. L4 lies in the m's orbit approximately 60° ahead of it, while L5 lies in the m's orbit approximately 60° behind m.",Unified Astronomy Thesaurus (UAT).json,2
