subject_id,predicate_id,object_id,mapping_justification,confidence,term
HELIO Ontology:corona,skos:exactMatch,SWEET:corona,lexical_identity_same_normalized_term,0.6,corona
HELIO Ontology:corona,skos:exactMatch,Space Weather Glossary:corona,lexical_identity_same_normalized_term,0.6,corona
HELIO Ontology:corona,skos:exactMatch,Space Weather Glossary (Second):corona,lexical_identity_same_normalized_term,0.6,corona
NASA Heliophysics Vocabulary:corona,skos:exactMatch,SPASE Dictionary:corona,lexical_identity_same_normalized_term,0.6,corona
NASA Heliophysics Vocabulary:corona,skos:exactMatch,SWEET:corona,lexical_identity_same_normalized_term,0.6,corona
NASA Heliophysics Vocabulary:corona,skos:exactMatch,Space Weather Glossary:corona,lexical_identity_same_normalized_term,0.6,corona
NASA Heliophysics Vocabulary:corona,skos:exactMatch,Space Weather Glossary (Second):corona,lexical_identity_same_normalized_term,0.6,corona
SPASE Dictionary:corona,skos:exactMatch,SWEET:corona,lexical_identity_same_normalized_term,0.6,corona
SPASE Dictionary:corona,skos:exactMatch,Space Weather Glossary:corona,lexical_identity_same_normalized_term,0.6,corona
SPASE Dictionary:corona,skos:exactMatch,Space Weather Glossary (Second):corona,lexical_identity_same_normalized_term,0.6,corona
SWEET:corona,skos:exactMatch,Space Weather Glossary:corona,lexical_identity_same_normalized_term,0.6,corona
SWEET:corona,skos:exactMatch,Space Weather Glossary (Second):corona,lexical_identity_same_normalized_term,0.6,corona
Space Weather Glossary:corona,skos:exactMatch,Space Weather Glossary (Second):corona,lexical_identity_same_normalized_term,0.6,corona
HELIO Ontology:coronagraph,skos:exactMatch,NASA CCMC:coronagraph,lexical_identity_same_normalized_term,0.6,coronagraph
HELIO Ontology:coronagraph,skos:exactMatch,Space Weather Glossary:coronagraph,lexical_identity_same_normalized_term,0.6,coronagraph
NASA CCMC:coronagraph,skos:exactMatch,Space Weather Glossary:coronagraph,lexical_identity_same_normalized_term,0.6,coronagraph
